CMDLINE python tandem/asymmetric_tandem.py
MEM 625.765625 1445880329.1394
MEM 625.765625 1445880329.6648
MEM 625.765625 1445880330.1835
MEM 625.765625 1445880330.7050
MEM 625.765625 1445880331.2264
MEM 625.765625 1445880331.7525
MEM 625.765625 1445880332.2714
MEM 625.765625 1445880332.7968
MEM 625.765625 1445880333.3155
MEM 625.765625 1445880333.8408
MEM 625.765625 1445880334.3599
MEM 625.765625 1445880334.8851
MEM 625.765625 1445880335.4036
MEM 625.765625 1445880335.9288
MEM 625.765625 1445880336.4475
MEM 625.765625 1445880336.9728
MEM 625.765625 1445880337.4915
MEM 625.765625 1445880338.0168
MEM 625.765625 1445880338.5355
MEM 625.765625 1445880339.0611
MEM 625.765625 1445880339.5795
MEM 625.765625 1445880340.1006
MEM 625.765625 1445880340.6225
MEM 625.765625 1445880341.1511
MEM 625.765625 1445880341.6767
MEM 625.765625 1445880342.1953
MEM 625.765625 1445880342.7207
MEM 625.765625 1445880343.2443
MEM 625.765625 1445880343.7688
MEM 625.765625 1445880344.2931
MEM 625.765625 1445880344.8142
MEM 625.765625 1445880345.3376
MEM 625.765625 1445880345.8557
MEM 625.765625 1445880346.3772
MEM 625.765625 1445880346.8986
MEM 625.765625 1445880347.4207
MEM 625.765625 1445880347.9421
MEM 625.765625 1445880348.4681
MEM 625.765625 1445880348.9857
MEM 625.765625 1445880349.5079
MEM 625.765625 1445880350.0295
MEM 625.765625 1445880350.5524
MEM 625.765625 1445880351.0740
MEM 625.765625 1445880351.5965
MEM 625.765625 1445880352.1180
MEM 625.765625 1445880352.6438
MEM 625.765625 1445880353.1629
MEM 625.765625 1445880353.6776
MEM 625.765625 1445880354.2000
MEM 625.765625 1445880354.7215
MEM 625.765625 1445880355.2391
MEM 625.765625 1445880355.7644
MEM 625.765625 1445880356.2876
MEM 625.765625 1445880356.8099
MEM 625.765625 1445880357.3321
MEM 625.765625 1445880357.8538
MEM 625.765625 1445880358.3715
MEM 625.765625 1445880358.8963
MEM 625.765625 1445880359.4149
MEM 625.765625 1445880359.9401
MEM 625.765625 1445880360.4621
MEM 625.765625 1445880360.9854
MEM 625.765625 1445880361.5037
MEM 625.765625 1445880362.0289
MEM 625.765625 1445880362.5476
MEM 625.765625 1445880363.0729
MEM 625.765625 1445880363.5917
MEM 625.765625 1445880364.1169
MEM 625.765625 1445880364.6402
MEM 625.765625 1445880365.1623
MEM 625.765625 1445880365.6886
MEM 625.765625 1445880366.2073
MEM 625.765625 1445880366.7328
MEM 625.765625 1445880367.2562
MEM 625.765625 1445880367.7782
MEM 625.765625 1445880368.3005
MEM 625.765625 1445880368.8249
MEM 625.765625 1445880369.3491
MEM 625.765625 1445880369.8674
MEM 625.765625 1445880370.3928
MEM 625.765625 1445880370.9163
MEM 625.765625 1445880371.4381
MEM 625.765625 1445880371.9605
MEM 625.765625 1445880372.4822
MEM 625.765625 1445880373.0083
MEM 625.765625 1445880373.5320
MEM 625.765625 1445880374.0568
MEM 625.765625 1445880374.5811
MEM 625.765625 1445880375.1022
MEM 625.765625 1445880375.6232
MEM 625.765625 1445880376.1430
MEM 625.765625 1445880376.6686
MEM 625.765625 1445880377.1874
MEM 625.765625 1445880377.7128
MEM 625.765625 1445880378.2314
MEM 625.765625 1445880378.7529
MEM 625.765625 1445880379.2742
MEM 625.765625 1445880379.7966
MEM 625.765625 1445880380.3179
MEM 625.765625 1445880380.8443
MEM 625.765625 1445880381.3681
MEM 625.765625 1445880381.8928
MEM 625.765625 1445880382.4171
MEM 625.765625 1445880382.9352
MEM 625.765625 1445880383.4607
MEM 625.765625 1445880383.9793
MEM 625.765625 1445880384.5047
MEM 625.765625 1445880385.0233
MEM 625.765625 1445880385.5488
MEM 625.765625 1445880386.0722
MEM 625.765625 1445880386.5942
MEM 625.765625 1445880387.1205
MEM 625.765625 1445880387.6394
MEM 625.765625 1445880388.1610
MEM 625.765625 1445880388.6821
MEM 625.765625 1445880389.2085
MEM 625.765625 1445880389.7268
MEM 625.765625 1445880390.2526
MEM 625.765625 1445880390.7714
MEM 625.765625 1445880391.2971
MEM 625.765625 1445880391.8143
MEM 625.765625 1445880392.3407
MEM 625.765625 1445880392.8579
MEM 625.765625 1445880393.3843
